# Expected photo file names (without extension): <name>.jpg / .webp / .png
# Format: file name | category | model

## armor
m1a2-sepv3-abrams | armor | M1A2 SEPv3 Abrams
leopard-2a7-2a8 | armor | Leopard 2A7 / 2A8
challenger-3 | armor | Challenger 3
leclerc-xlr | armor | Leclerc XLR
ariete-c1 | armor | Ariete C1
k2pl-black-panther | armor | K2PL Black Panther
leopard-2a6-2a4 | armor | Leopard 2A6 / 2A4
t-90m-proryv-3 | armor | T-90M "Proryv-3"
t-14-armata | armor | T-14 Armata
t-72b3-b3m | armor | T-72B3 / B3M
type-99a-ztz-99a | armor | Type 99A (ZTZ-99A)
type-96b-ztz-96b | armor | Type 96B (ZTZ-96B)
type-15-ztq-15 | armor | Type 15 (ZTQ-15)
t-90s-bhishma | armor | T-90S "Bhishma"
arjun-mk1a | armor | Arjun Mk1A
karrar-zulfiqar-3 | armor | Karrar / Zulfiqar-3
m1a1-abrams-egypt | armor | M1A1 Abrams (Egypt)
leclerc-uae | armor | Leclerc (UAE)
leopard-2ri | armor | Leopard 2RI
m2a3-bradley | armor | M2A3 Bradley
cv90-mk-iii-iv | armor | CV90 (Mk III/IV)
puma | armor | Puma
lynx-kf41 | armor | Lynx KF41
boxer | armor | Boxer
stryker | armor | Stryker
ajax-ascod-2 | armor | Ajax (ASCOD 2)
vbci | armor | VBCI
bmp-3 | armor | BMP-3
bmp-2 | armor | BMP-2
btr-82a | armor | BTR-82A
zbd-04a | armor | ZBD-04A
zbl-08-vn1 | armor | ZBL-08 / VN1
guarani-vbtp-mr | armor | Guarani VBTP-MR
ratel-badger | armor | Ratel / Badger
casspir | armor | Casspir
m109a7-paladin | armor | M109A7 Paladin
pzh-2000 | armor | PzH 2000
caesar | armor | CAESAR
k9-thunder-krab | armor | K9 Thunder (Krab)
archer | armor | Archer
m142-himars | armor | M142 HIMARS
m270-mlrs | armor | M270 MLRS
2s19-msta-s | armor | 2S19 Msta-S
2s35-koalitsiya-sv | armor | 2S35 Koalitsiya-SV
tos-1a-solntsepyok | armor | TOS-1A Solntsepyok
bm-30-smerch | armor | BM-30 Smerch
phl-16-pcl-181 | armor | PHL-16 / PCL-181
k9-vajra-t | armor | K9 Vajra-T
pinaka | armor | Pinaka
astros-ii | armor | ASTROS II
g6-rhino | armor | G6 Rhino

## air
f-35a-b-c-lightning-ii | air | F-35A/B/C Lightning II
